dia_semana,festivo,hora_sin,hora_cos,semana_sin,semana_cos,linea_LÍNEA 1,linea_LÍNEA 2,linea_LÍNEA A,linea_LÍNEA B,linea_LÍNEA H,linea_LÍNEA J,linea_LÍNEA K,linea_LÍNEA L,linea_LÍNEA M,linea_LÍNEA O,linea_LÍNEA P,linea_LÍNEA T-A,lag_1,lag_1_missing,promedio_dia_anterior,misma_hora_semana_anterior
-1.0102024208119593,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.4178000745351788,1,-0.3430486819467451,-0.1799464312843513
-1.0102024208119593,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.24705152673429948,0,-0.3430486819467451,0.24822433711628245
-1.0102024208119593,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0037627462075563506,0,-0.3430486819467451,0.41019917303701614
-1.0102024208119593,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.18098657378376945,0,-0.3430486819467451,0.35295382926842034
-1.0102024208119593,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.12407039118347632,0,-0.3430486819467451,0.09529894275044222
-1.0102024208119593,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.04485196894038828,0,-0.3430486819467451,0.03652841220293181
-1.0102024208119593,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.06869386361252533,0,-0.3430486819467451,-0.021733722751607044
-1.0102024208119593,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.09659395312247293,0,-0.3430486819467451,0.011617028147326194
-1.0102024208119593,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.08665137576983706,0,-0.3430486819467451,0.04974669762019194
-1.0102024208119593,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0783320763523254,0,-0.3430486819467451,0.047103040536739915
-1.0102024208119593,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.08320191015769808,0,-0.3430486819467451,0.07608158933611789
-1.0102024208119593,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.03906904129650823,0,-0.3430486819467451,0.10150136898469506
-1.0102024208119593,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0006176452082531659,0,-0.3430486819467451,0.26256109283808
